11,Vas,2024.08.13.19.40.38.997,80,Think about walking in the rain. How much do you like walking in the rain?,Dislike extremely,Like extremely,0,100
11,Vas,2024.08.13.19.40.40.624,92,Think about watching your favourite movie. How much do you like watching your favourite movie?,Dislike extremely,LIke extremely,0,100
11,Vas,2024.08.13.19.40.42.187,92,Think about a warm fire on a cold day. How much do you like a warm fire on a cold day?,Dislike extremely,LIke extremely,0,100
11,Vas,2024.08.13.19.40.43.493,72,Think about the sound of a car alarm. How much do you like the sound of a car alarm?,Dislike extremely,LIke extremely,0,100
11,GLMS ,null,0,Think of listening to a heavy metal song with headphones on maximum volume.
11,GLMS ,null,0,Think of staring directly at the sun through binoculars
11,Vas,null,50,How hungry are you right now?,Not at all hungry,Extremely hungry,0,100
11,Vas,null,50,How full are you right now?,Not at all full,Extremely full,0,100
11,Vas,null,50,How thirsty are you right now?,Not at all thirsty,Extremely thirsty,0,100
11,Vas,null,50,How happy are you right now?,Not at all happy,Extremely happy,0,100
11,Vas,null,50,How anxious are you right now?,Not at all anxious,Extremely anxious,0,100
11,Vas,null,50,How tired are you right now?,Not at all tired,Extremely tired,0,100
11,Vas,null,50,How hungry are you right now?,Not at all hungry,Extremely hungry,0,100
11,Vas,null,50,How full are you right now?,Not at all full,Extremely full,0,100
11,Vas,null,50,How thirsty are you right now?,Not at all thirs
